NAME	TITLE	SCORE	
CXCL10	n/a	1.2316824	
C11orf48	n/a	1.2307117	
HIST2H3C	n/a	1.2288963	
PRUNE	n/a	1.2282791	
MRPL17	n/a	1.2281029	
FKBP11	n/a	1.2280736	
LSM14B	n/a	1.2272153	
SPATS2	n/a	1.2244896	
AXIN1	n/a	1.2238986	
RUVBL1	n/a	1.2234721	
ZNF687	n/a	1.2232757	
PAQR4	n/a	1.2224916	
JTB	n/a	1.2195578	
NEK2	n/a	1.2194443	
SFRS9	n/a	1.2186179	
CDC42SE1	n/a	1.2181768	
ZBTB12	n/a	1.2173046	
NKX3	n/a	1.2160635	
PSENEN	n/a	1.2151529	
C16orf88	n/a	1.215017	
LIG3	n/a	1.2136489	
SLC35F4	n/a	1.2136401	
PACSIN1	n/a	1.2126127	
STYXL1	n/a	1.2120647	
ZNF267	n/a	1.2112064	
TMEM99	n/a	1.2068026	
TRAP1	n/a	1.2067288	
APEX2	n/a	1.2058555	
TMEM151A	n/a	1.2057366	
GPX8	n/a	1.2054756	
RNF40	n/a	1.2048962	
NMRAL1	n/a	1.2038505	
SYNGR3	n/a	1.2030824	
DNTTIP1	n/a	1.2027737	
GBAP1	n/a	1.2026334	
NME4	n/a	1.2024937	
CHML	n/a	1.2023042	
KIF20B	n/a	1.2021779	
LASS2	n/a	1.2018918	
CKAP2	n/a	1.1982442	
NANOS3	n/a	1.1979104	
OSTC	n/a	1.1978652	
TREML4	n/a	1.1957186	
MAPK15	n/a	1.1955779	
FBXO45	n/a	1.1953875	
ATP6V1F	n/a	1.1933446	
PGAM5	n/a	1.1927218	
TTLL12	n/a	1.1910414	
CENPM	n/a	1.1907485	
RCC1	n/a	1.1892836	
OBFC2B	n/a	1.189114	
GOLT1A	n/a	1.1886276	
B3GALT6	n/a	1.18855	
NONO	n/a	1.1882092	
RACGAP1	n/a	1.18804	
B4GALT3	n/a	1.1860504	
RBAK	n/a	1.1847645	
PRKDC	n/a	1.1824468	
RPN2	n/a	1.1808895	
CASP2	n/a	1.1802113	
TARBP1	n/a	1.179363	
SLC25A14	n/a	1.178338	
BRIP1	n/a	1.1768504	
SC65	n/a	1.176207	
FAM91A1	n/a	1.1758409	
MMP11	n/a	1.1752696	
RAB40C	n/a	1.1752126	
RFX5	n/a	1.174394	
ADAM12	n/a	1.1739857	
VDAC1	n/a	1.1735725	
HEYL	n/a	1.1731967	
NOP56	n/a	1.1731502	
