Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5
ADAR	15361.9812627846	17460.1532724681	19226.0114663427	18125.8944805284	16235.8852813013	46089.4816832254	36575.744101193	40801.4672723885	25565.1309837127	26748.2487685461
ADARB1	2476.44614694319	2018.35839346445	2334.27657044829	1385.75410105046	2577.45641399071	873.298021177529	2747.43915413367	1826.65367160988	937.034538130548	1475.2986130055
ADARB2	10.6082890635358	0	0	46.1677576612336	5.50033378999298	2.24498205958234	0.920723577122542	3.28337987706989	12.7295258010188	2.7818327083699
ADCY1	1175.1626884828	707.921045555281	623.1425992744	2625.79121698266	578.635114707262	1838.64030679793	956.631796630321	726.721412791468	968.151156755261	678.767180842256
ADCY2	215.701877625227	381.736096999628	198.424655940686	453.742493264311	387.223498815506	104.391665770579	46.9569024332497	97.4069363530733	117.394515720506	131.673414862842
ADCY3	3899.13558024182	3811.66341630972	5009.66518987326	2064.56441291329	5093.3090895335	4136.37944478046	1535.7669266404	1960.17778661072	2738.96963485254	1528.15343446453
ADCY5	1401.47285517156	743.530756096291	3393.28456563734	608.837304157518	2098.92737426132	40.4096770724821	25.7802601594312	15.3224394263261	126.588062132353	550.80287625724
ADCY6	8034.0109174511	4982.51069889813	18180.3804142508	5088.55253972409	13223.9024979011	5619.19009513459	539.54401619381	4291.37749933034	4593.23722653427	9285.75758053873
ADCY7	2785.26522857056	1123.84246467428	1518.28304152367	605.951819303691	2839.27230239438	1678.1240895378	2590.91614602283	3284.47433702891	865.607754469276	1240.69738793298
ADCY8	24.7526744815835	17.0926610596849	4.45898103237496	4.32822728074065	6.60040054799158	0	152.840113802342	0	0	0
ADCY9	1986.10745245087	1747.72459335278	1794.73986553092	2385.57460290155	2147.33031161326	3355.1256880458	726.450902349686	1861.67639029863	2673.20041821394	1690.42700911944
ADCYAP1	16.5017829877223	150.985172693883	1.11474525809374	45.4463864477768	31.9019359819593	76.3293900257995	6.44506503985779	2.18891991804659	18.3870928236938	0.927277569456634
ADCYAP1R1	91.9385052173101	27.0633800111677	92.5238564217804	19.4770227633329	347.621095527556	2.24498205958234	1.84144715424508	4.37783983609318	5.65756702267501	31.5274373615255
ADD1	19777.3869107852	14114.2648700348	22047.431714578	13146.9903652497	22024.4365618899	18261.8065636725	4603.61788561271	8695.48437444008	9972.16907334253	9854.17873061565
ADD2	269.922021727744	153.833949537164	177.244496036905	46.1677576612336	201.312216713743	76.3293900257995	2020.06752820686	296.598648895313	100.421814652481	180.819126044044
ADD3	9508.56309728257	6921.10334075072	12194.1983782874	23510.9305889832	12717.8717892218	9178.60915060239	2477.66714603676	4444.6018935936	2669.66443882477	2433.17634225421
PLIN2	12671.0119370011	5211.83723478224	12434.9833540357	1724.79857137515	9358.26791029406	1867.8250735725	6715.75777153182	15116.6809540298	1091.91043537628	4908.08017513396
ADH1A	1317.78524144811	129.619346369277	6706.30747269194	20.9197651902465	3095.58785700805	11.2249102979117	12.8901300797156	0	4.95037114484063	0
ADH1B	141797.463815928	32243.8807006738	705514.470630721	1548.7839952917	328098.210773355	1538.93520184369	3087.18615409188	2.18891991804659	439.168640135147	0.927277569456634
ADH1C	1173.98398969796	826.145284551435	2119.1307356362	921.912410797758	1236.47503599042	11.2249102979117	34.0667723535341	1.0944599590233	70.0123919056032	0
ADH4	36.5396623299566	142.43884216404	52.3930271304057	15.1487954825923	33.0020027399579	1.12249102979117	80.1029512096612	0	0	0
ADH5	11742.1972945493	7962.33127696986	18427.8538615476	5830.84351837111	15361.3322086924	4337.30533911308	4494.05177993513	5023.57121191693	3712.07116275264	3445.76344810085
ADH6	2.35739756967462	2.84877684328081	12.2621978390311	2.8854848538271	8.80053406398877	0	2.76217073136763	4.37783983609318	26.8734433577063	0.927277569456634
ADH7	0	1.4243884216404	7.80321680665618	32.4617046055549	1.1000667579986	17.9598564766587	1.84144715424508	15.3224394263261	0	0
ADK	1097.36856868353	898.789094055095	1016.64767538149	955.816857830226	1248.57577032841	1173.00312613177	1257.70840634939	1044.11480090822	1028.26280637118	1077.49653570861
ADM	4836.20111418748	1794.72941126691	2649.74947848882	331.10938697666	4374.96549656042	298.582613924451	103.121040637725	5324.54770064833	434.218268990307	2487.88571885215
ADORA1	411.365875908221	317.63861802581	1111.40102231946	785.573251454428	849.251537174916	408.586734843985	1525.63896729205	658.864895332024	137.903196177703	204.001065280459
ADORA2A	88.4024088627982	269.209411690036	99.2123279703428	136.33915934333	154.009346119803	389.504387337535	164.809520304935	1886.84896935616	608.895650815398	1263.87932716939
ADORA2B	221.595371549414	152.409561115523	16.7211788714061	129.846818422219	177.110748037774	114.494085038699	274.375625982518	640.259076028628	154.875897245728	80.6731485427271
ADORA3	355.967033020867	206.536321137859	182.818222327373	286.38437174234	312.418959271601	359.197129533174	54.32269105023	60.1952977462813	255.29771189821	688.039956536822
ADPRH	1726.79371978666	1505.57856167391	1490.41441007133	733.63452408554	1354.18217909627	541.040676359343	830.492666564533	1125.10483787595	798.424146075011	460.856952019947
PARP1	6889.49439737407	6063.6215109232	6155.62331519363	8607.40131896624	6479.39320461173	16605.0098037008	17940.2989002327	11985.4310112641	16199.0287776742	11827.4253984194
PARP4	6333.14857093086	4016.77534902594	6671.75036969103	3139.40752096388	5341.92417684118	7365.78613748965	8169.58029980832	3756.18657936795	3544.46573970589	3761.03782171611
ADRA1D	10.6082890635358	39.8828758059313	15.6064336133124	5.04959849419742	5.50033378999298	4.48996411916467	11.969406502593	36.1171786477688	9.90074228968126	25.0364943753291
ADRA1B	168.553926231735	71.2194210820202	267.538861942497	42.5609015939497	390.523699089502	5.61245514895584	58.0055853587202	120.390595492563	12.0223299231844	30.6001597920689
ADRA1A	206.272287346529	89.7364705633455	695.601041050493	24.5266212575303	311.318892513603	7.85743720853818	0	3.28337987706989	0.707195877834376	9.27277569456634
ADRA2A	5475.0558555693	5401.28089486041	10448.5073041126	3087.468793595	7438.65141758651	1186.47301848927	1736.48466645311	111.634915820376	1556.53812711346	2010.33777058198
