id	Normal	Tumor
TLE6	54.8968597382934	126.735474301156
ZBTB41	2295.5808923924	3283.08958565034
ANTXR1	10908.1067459002	16251.7292639105
ARL3	1489.6772930959	2218.54679846454
ZBTB8OS	378.433535573243	506.384405427091
RSC1A1	985.632854688898	623.523076734643
C10orf129	4.68988727512632	0.589803019587313
IL13	8.77925877331573	2.3147366288256
TPMT	1292.22632041734	2150.49260297529
POFUT1	5002.27846265179	7653.05767516865
GPR88	79.9387725191355	30.8293012553217
ZNF438	941.512017405304	644.820715126421
BMI1	4375.97742727619	5875.6268261301
STAMBP	1781.34013293505	2710.70055500752
C2orf27A	50.8385071540036	86.4158522627361
ZNF780B	883.122437813181	648.195623098763
SUGT1L1	93.8499288675624	65.8693313077493
CA5B	1336.14488635871	761.719705904056
C4A	24416.9581075851	73313.8876156365
SH2D3A	283.493730716641	579.478214188514
PAIP1	3156.13842665586	4656.06951728885
COLEC12	4407.38483276218	1912.04177295629
UNC119B	3114.6847851288	2127.58341486179
ASF1A	1168.82806278346	2187.36012017073
CMTM1	230.759562202763	333.46160808281
GH1	1.52319553802577	0
OXT	4.90031101532892	1.3383936388125
CCDC28A	1132.3296471896	798.394416738184
ARHGEF17	3912.22795226244	2772.10669472389
DEK	5944.89619312941	10684.6840553046
KBTBD3	377.311886689992	253.669323352135
RPL37	24211.3056012371	38576.8207350814
ZC3H13	6062.08084928728	4197.09214710935
DSCR6	15.0910204082084	38.4248116297095
LRRC19	2.8437213747216	8.00682698480202
PPP3CB	5702.45156992771	3672.01690897893
S1PR4	78.2590764876096	38.5223721220131
TEX12	3.10061320999735	0.771326138078184
ZNF689	871.591516796892	467.785921735502
ANXA2	48602.5135218009	33094.8501788936
HK1	7579.05070284352	12714.6727996125
ZMYM4	4497.45850245703	6172.14884587363
SEMA4D	839.832689694455	1241.53193403034
SFRS6	8519.58134000064	12467.3248873009
SLC5A1	400.621971499435	1464.50940340588
RPAP1	1414.20470479508	2065.62576788962
AMDHD2	412.785223357158	629.639511439145
ABHD10	1674.88787017431	2253.05188331134
FAM46A	2368.47065671675	4896.84509113615
BEST4	8.0897199073149	19.7654145353429
SNX19	6835.84098092501	4984.81896457532
ESRRB	17.8506189944627	6.7029253714501
C6orf191	0	1.62949980103347
C7orf27	1676.87595361249	2235.82033498465
DVL1	1600.45673846689	2481.91314089109
KIAA0564	3482.63548704931	2243.10212923883
LIN7B	56.7827235098253	81.0156547311291
PAX1	9.24456822495646	28.3638523944682
CORO2A	1225.94016535954	2620.03139613535
C7orf61	11.0617618496897	30.2506156443661
FECH	1992.45347086906	1502.67760045381
FAM135A	796.032657987236	513.939770626633
CFHR1	6.42047593253284	1.85372845938197
FBXO28	3327.32677618185	4161.12927255777
ZNF398	1237.20381984317	1675.13226704502
GPC5	7.23209435777099	2.48744979657137
ZNF77	178.464202635482	295.009171443239
SLC25A46	2253.75814906765	1551.72268044599
ATAD2B	951.764419549958	1366.79817514197
